X,Y,depth,month,distance,preds
-0.7135416666666667,37.64895833333334,3.256999969482422,July,16.471052395429474,0.042892656421531485
-0.7135416666666667,37.64895833333334,3.256999969482422,August,16.471052395429474,0.004062041473397486
-0.7135416666666667,37.64895833333334,3.256999969482422,September,16.471052395429474,0.001691343026515344
-0.7114583333333334,37.64895833333334,5.519999980926514,July,16.632315242118544,0.041342794006751
-0.7114583333333334,37.64895833333334,5.519999980926514,August,16.632315242118544,0.00398742445921478
-0.7114583333333334,37.64895833333334,5.519999980926514,September,16.632315242118544,0.0016618260661818212
-0.7093750000000001,37.64895833333334,7.769999980926514,July,16.7940442544554,0.03985106031109138
-0.7093750000000001,37.64895833333334,7.769999980926514,August,16.7940442544554,0.003914593661557527
-0.7093750000000001,37.64895833333334,7.769999980926514,September,16.7940442544554,0.0016330019897971735
-0.7072916666666668,37.64895833333334,11.079999923706056,July,16.956226093462462,0.038415331934625645
-0.7072916666666668,37.64895833333334,11.079999923706056,August,16.956226093462462,0.0038435083687247064
-0.7072916666666668,37.64895833333334,11.079999923706056,September,16.956226093462462,0.0016048554555742793
-0.7052083333333334,37.64895833333334,14.220000267028809,July,17.118847888992374,0.037033550996993854
-0.7052083333333334,37.64895833333334,14.220000267028809,August,17.118847888992374,0.0037741283807168143
-0.7052083333333334,37.64895833333334,14.220000267028809,September,17.118847888992374,0.001577371299318801
-0.703125,37.64895833333334,15.350000381469728,July,17.2818972210651,0.03570372435654501
-0.703125,37.64895833333334,15.350000381469728,August,17.2818972210651,0.003706414034781097
-0.703125,37.64895833333334,15.350000381469728,September,17.2818972210651,0.0015505345445408283
-0.7010416666666667,37.64895833333334,16.860000610351563,July,17.44536210196946,0.0344239227051895
-0.7010416666666667,37.64895833333334,16.860000610351563,August,17.44536210196946,0.003640326227824232
-0.7010416666666667,37.64895833333334,16.860000610351563,September,17.44536210196946,0.001524330411397004
-0.6989583333333333,37.64895833333334,18.520000457763672,July,17.609230959124382,0.03319227955688149
-0.6989583333333333,37.64895833333334,18.520000457763672,August,17.609230959124382,0.003575826436052045
-0.6989583333333333,37.64895833333334,18.520000457763672,September,17.609230959124382,0.0014987443246017205
-0.696875,37.64895833333334,19.770000457763672,July,17.77349261865765,0.032006990143973374
-0.696875,37.64895833333334,19.770000457763672,August,17.77349261865765,0.0035128767319409907
-0.696875,37.64895833333334,19.770000457763672,September,17.77349261865765,0.0014737619203401147
-0.6947916666666667,37.64895833333334,20.450000762939453,July,17.938136289678965,0.030866310235671043
-0.6947916666666667,37.64895833333334,20.450000762939453,August,17.938136289678965,0.0034514397987754778
-0.6947916666666667,37.64895833333334,20.450000762939453,September,17.938136289678965,0.0014493690522703387
-0.6927083333333334,37.64895833333334,20.299999237060547,July,18.103151549209464,0.029768554891510104
-0.6927083333333334,37.64895833333334,20.299999237060547,August,18.103151549209464,0.0033914789429665805
-0.6927083333333334,37.64895833333334,20.299999237060547,September,18.103151549209464,0.0014255517966956356
-0.690625,37.64895833333334,22.399999618530273,July,18.268528327763047,0.028712097160087827
-0.690625,37.64895833333334,22.399999618530273,August,18.268528327763047,0.0033329581041981523
-0.690625,37.64895833333334,22.399999618530273,September,18.268528327763047,0.0014022964569163799
-0.6885416666666667,37.64895833333334,26.219999313354492,July,18.434256895519884,0.027695366734908338
-0.6885416666666667,37.64895833333334,26.219999313354492,August,18.434256895519884,0.0032758418637122318
-0.6885416666666667,37.64895833333334,26.219999313354492,September,18.434256895519884,0.001379589566884096
-0.6864583333333334,37.64895833333334,29.559999465942383,July,18.600327849096313,0.026716848575616514
-0.6864583333333334,37.64895833333334,29.559999465942383,August,18.600327849096313,0.0032200954507751
-0.6864583333333334,37.64895833333334,29.559999465942383,September,18.600327849096313,0.0013574178941670027
-0.6843750000000001,37.64895833333334,32.15999984741211,July,18.76673209887122,0.02577508150341262
-0.6843750000000001,37.64895833333334,32.15999984741211,August,18.76673209887122,0.0031656847474954147
-0.6843750000000001,37.64895833333334,32.15999984741211,September,18.76673209887122,0.0013357684422913552
-0.6822916666666667,37.64895833333334,33.310001373291016,July,18.933460856846246,0.02486865677819017
-0.6822916666666667,37.64895833333334,33.310001373291016,August,18.933460856846246,0.0031125762921198528
-0.6822916666666667,37.64895833333334,33.310001373291016,September,18.933460856846246,0.0013146284525043276
-0.6802083333333334,37.64895833333334,34.06999969482422,July,19.10050562502429,0.02399621666445892
-0.6802083333333334,37.64895833333334,34.06999969482422,August,19.10050562502429,0.0030607372809629764
-0.6802083333333334,37.64895833333334,34.06999969482422,September,19.10050562502429,0.001293985405017796
-0.6781250000000001,37.64895833333334,34.72999954223633,July,19.26785818427245,0.023156452991485853
-0.6781250000000001,37.64895833333334,34.72999954223633,August,19.26785818427245,0.0030101355690001735
-0.6781250000000001,37.64895833333334,34.72999954223633,September,19.26785818427245,0.0012738270197389376
-0.6760416666666668,37.64895833333334,35.91999816894531,July,19.435510583657667,0.02234810571390231
-0.6760416666666668,37.64895833333334,35.91999816894531,August,19.435510583657667,0.0029607396693357487
-0.6760416666666668,37.64895833333334,35.91999816894531,September,19.435510583657667,0.0012541412565713062
-0.6739583333333334,37.64895833333334,37.54999923706055,July,19.603455130234927,0.02156996147678302
-0.6739583333333334,37.64895833333334,37.54999923706055,August,19.603455130234927,0.002912518751543344
-0.6739583333333334,37.64895833333334,37.54999923706055,September,19.603455130234927,0.001234916315279853
-0.7114583333333334,37.64687500000001,4.548999786376953,July,16.523057158319368,0.04038954012788927
-0.7114583333333334,37.64687500000001,4.548999786376953,August,16.523057158319368,0.0038475831851307162
