localidad,X,Y
Atamaría,-0.792565345344961,37.58744997646222
Cabo Palos,-0.6950556158032695,37.63046115324696
Calacortina,-0.975238362633184,37.58135416755579
Gorguel,-0.8768524896116459,37.57722500821227
Portus,-1.073359463817967,37.58411204259748
Escombreras,-0.9397193308031093,37.55882339113093
Azohía,-1.174759811099905,37.5634732827795
Portman,-0.8520455422048334,37.58224762925938
